int,resp,probs,feedback,Subject,Block,Run,Task,Main
525.0,521.9188489622877,0.10644570412533196,0.034443507363974654,1,Short Uniform,1256,1,True
675.0,603.0077943997949,0.5882461877134934,11.375314495873155,1,Short Uniform,1257,1,True
675.0,701.7673485555032,0.6342967350493659,1.5725452920533307,1,Short Uniform,1258,1,True
825.0,553.5024461033091,0.23355896272014584,108.29887496328604,1,Short Uniform,1259,1,True
525.0,519.574692380148,0.6408647160358031,0.10678988760099443,1,Short Uniform,1260,1,True
525.0,552.4035816495593,0.15594562516285762,2.724557958182548,1,Short Uniform,1261,1,True
825.0,474.4089514410732,0.10042305092650405,180.5900214209701,1,Short Uniform,1262,1,True
750.0,706.3592391795036,0.7250016178612436,3.3858062310964927,1,Short Uniform,1263,1,True
525.0,527.491433395686,0.13941076053098064,0.022520599964225653,1,Short Uniform,1264,1,True
675.0,654.7233569155533,0.41299022750665826,0.9023698321515313,1,Short Uniform,1265,1,True
450.0,350.3539246450869,0.3357254173181463,49.03377942536798,1,Short Uniform,1266,1,True
450.0,541.1365167875921,0.18858587449572323,41.016615763827424,1,Short Uniform,1267,1,True
